Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked,Inventory Value,Stock Score
1102,Gadget Y,Electronics,Warehouse 2,Aisle 1,300.0,9.99,Supplier C,In Stock,Not Available,2997.0,1.0
1435,Gadget Y,Electronics,Warehouse 2,Aisle 4,200.0,19.99,Supplier C,Out of Stock,Not Available,3997.9999999999995,0.0
1860,Widget A,Clothing,Warehouse 2,Aisle 3,100.0,19.99,Supplier B,In Stock,20-12-2022,1998.9999999999998,1.0
1270,Gadget Z,Toys,Warehouse 2,Aisle 4,50.0,49.99,Supplier B,In Stock,20-12-2022,2499.5,1.0
1106,Widget A,Furniture,Warehouse 3,Aisle 3,200.0,9.99,Supplier D,Out of Stock,25-04-2023,1998.0,0.0
1071,Widget B,Clothing,Warehouse 3,Aisle 5,300.0,29.99,Supplier A,In Stock,20-12-2022,8997.0,1.0
1700,Widget A,Clothing,Warehouse 2,Aisle 2,200.0,49.99,Supplier B,In Stock,20-12-2022,9998.0,1.0
1020,Widget C,Clothing,Warehouse 1,Aisle 5,200.0,9.99,Supplier D,Out of Stock,20-12-2022,1998.0,0.0
1614,Gadget Y,Electronics,Warehouse 3,Aisle 3,300.0,9.99,Supplier B,Out of Stock,05-03-2023,2997.0,0.0
1121,Widget B,Toys,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Out of Stock,20-12-2022,999.4999999999999,0.0
1466,Widget A,Clothing,Warehouse 3,Aisle 1,150.0,49.99,Supplier B,In Stock,15-01-2023,7498.5,1.0
1214,Gadget Z,Furniture,Warehouse 2,Aisle 1,50.0,9.99,Supplier A,Low Stock,15-01-2023,499.5,0.5
1330,Widget C,Toys,Warehouse 3,Aisle 4,150.0,9.99,Supplier B,In Stock,25-04-2023,1498.5,1.0
1458,Widget C,Furniture,Warehouse 2,Aisle 3,300.0,49.99,Supplier A,Low Stock,05-03-2023,14997.0,0.5
1087,Widget A,Toys,Warehouse 3,Aisle 3,50.0,29.99,Supplier C,Out of Stock,15-01-2023,1499.5,0.0
1372,Gadget Y,Furniture,Warehouse 2,Aisle 1,200.0,49.99,Supplier A,Low Stock,05-03-2023,9998.0,0.5
1099,Widget A,Electronics,Warehouse 2,Aisle 5,300.0,49.99,Supplier B,Out of Stock,05-03-2023,14997.0,0.0
1871,Widget B,Clothing,Warehouse 2,Aisle 2,100.0,29.99,Supplier D,Out of Stock,25-04-2023,2999.0,0.0
1663,Widget A,Furniture,Warehouse 2,Aisle 5,50.0,49.99,Supplier C,Low Stock,05-03-2023,2499.5,0.5
1130,Widget C,Toys,Warehouse 1,Aisle 5,300.0,9.99,Supplier B,Out of Stock,20-12-2022,2997.0,0.0
1661,Widget A,Clothing,Warehouse 2,Aisle 1,50.0,49.99,Supplier C,Low Stock,05-03-2023,2499.5,0.5
1308,Gadget Y,Clothing,Warehouse 1,Aisle 1,300.0,29.99,Supplier C,Out of Stock,25-04-2023,8997.0,0.0
1769,Gadget Z,Toys,Warehouse 1,Aisle 1,200.0,29.99,Supplier B,In Stock,25-04-2023,5998.0,1.0
1343,Gadget X,Furniture,Warehouse 2,Aisle 4,100.0,49.99,Supplier B,In Stock,25-04-2023,4999.0,1.0
1491,Widget A,Electronics,Warehouse 1,Aisle 5,100.0,19.99,Supplier D,Out of Stock,15-01-2023,1998.9999999999998,0.0
1413,Gadget Y,Electronics,Warehouse 3,Aisle 3,150.0,9.99,Supplier C,Out of Stock,20-12-2022,1498.5,0.0
1805,Gadget Y,Furniture,Warehouse 2,Aisle 2,300.0,9.99,Supplier C,Low Stock,15-01-2023,2997.0,0.5
1385,Gadget Z,Clothing,Warehouse 1,Aisle 4,50.0,19.99,Supplier B,In Stock,Not Available,999.4999999999999,1.0
1191,Widget C,Clothing,Warehouse 2,Aisle 3,100.0,19.99,Supplier A,Low Stock,20-12-2022,1998.9999999999998,0.5
1955,Gadget Y,Clothing,Warehouse 2,Aisle 5,100.0,49.99,Supplier B,Out of Stock,05-03-2023,4999.0,0.0
1276,Gadget Y,Clothing,Warehouse 2,Aisle 1,150.0,19.99,Supplier C,Out of Stock,25-04-2023,2998.4999999999995,0.0
1160,Gadget Y,Furniture,Warehouse 1,Aisle 5,150.0,29.99,Supplier B,Low Stock,Not Available,4498.5,0.5
1459,Gadget Y,Clothing,Warehouse 3,Aisle 2,100.0,29.99,Supplier D,Out of Stock,20-12-2022,2999.0,0.0
1313,Widget B,Toys,Warehouse 3,Aisle 4,300.0,19.99,Supplier A,In Stock,15-01-2023,5996.999999999999,1.0
1021,Widget B,Clothing,Warehouse 1,Aisle 4,150.0,19.99,Supplier B,Low Stock,25-04-2023,2998.4999999999995,0.5
1252,Widget C,Electronics,Warehouse 2,Aisle 2,100.0,29.99,Supplier D,In Stock,15-01-2023,2999.0,1.0
1747,Widget A,Clothing,Warehouse 1,Aisle 3,200.0,9.99,Supplier C,In Stock,20-12-2022,1998.0,1.0
1856,Gadget Y,Furniture,Warehouse 1,Aisle 3,50.0,9.99,Supplier B,In Stock,20-12-2022,499.5,1.0
1560,Gadget Z,Electronics,Warehouse 1,Aisle 4,150.0,49.99,Supplier C,Low Stock,Not Available,7498.5,0.5
1474,Widget A,Furniture,Warehouse 2,Aisle 4,200.0,29.99,Supplier D,Out of Stock,05-03-2023,5998.0,0.0
1058,Gadget Z,Furniture,Warehouse 1,Aisle 1,150.0,29.99,Supplier C,In Stock,15-01-2023,4498.5,1.0
1510,Widget A,Electronics,Warehouse 2,Aisle 3,200.0,29.99,Supplier D,In Stock,Not Available,5998.0,1.0
1681,Widget C,Furniture,Warehouse 1,Aisle 2,50.0,29.99,Supplier D,In Stock,25-04-2023,1499.5,1.0
1475,Gadget Y,Furniture,Warehouse 3,Aisle 3,50.0,29.99,Supplier D,Out of Stock,05-03-2023,1499.5,0.0
1699,Gadget Y,Clothing,Warehouse 1,Aisle 1,150.0,9.99,Supplier B,Out of Stock,Not Available,1498.5,0.0
1975,Gadget X,Toys,Warehouse 1,Aisle 4,300.0,29.99,Supplier C,Low Stock,15-01-2023,8997.0,0.5
1782,Gadget Z,Furniture,Warehouse 3,Aisle 4,200.0,29.99,Supplier C,Out of Stock,20-12-2022,5998.0,0.0
1189,Widget A,Furniture,Warehouse 2,Aisle 1,150.0,29.99,Supplier A,Low Stock,25-04-2023,4498.5,0.5
1957,Widget A,Furniture,Warehouse 2,Aisle 2,200.0,29.99,Supplier A,Low Stock,15-01-2023,5998.0,0.5
1686,Widget B,Clothing,Warehouse 1,Aisle 4,150.0,29.99,Supplier A,Low Stock,05-03-2023,4498.5,0.5
1957,Gadget X,Toys,Warehouse 3,Aisle 5,50.0,19.99,Supplier A,Low Stock,05-03-2023,999.4999999999999,0.5
1562,Widget B,Electronics,Warehouse 2,Aisle 4,150.0,29.99,Supplier C,Low Stock,20-12-2022,4498.5,0.5
1875,Widget B,Clothing,Warehouse 1,Aisle 5,150.0,49.99,Supplier D,In Stock,20-12-2022,7498.5,1.0
1566,Widget B,Clothing,Warehouse 3,Aisle 1,200.0,49.99,Supplier D,Out of Stock,25-04-2023,9998.0,0.0
1243,Gadget Z,Toys,Warehouse 2,Aisle 1,200.0,9.99,Supplier B,In Stock,25-04-2023,1998.0,1.0
1831,Gadget Z,Toys,Warehouse 2,Aisle 4,300.0,29.99,Supplier D,Low Stock,20-12-2022,8997.0,0.5
1504,Widget C,Clothing,Warehouse 3,Aisle 3,50.0,19.99,Supplier C,Out of Stock,20-12-2022,999.4999999999999,0.0
1130,Widget C,Electronics,Warehouse 3,Aisle 5,200.0,9.99,Supplier C,In Stock,05-03-2023,1998.0,1.0
1484,Widget B,Clothing,Warehouse 3,Aisle 2,100.0,29.99,Supplier C,In Stock,20-12-2022,2999.0,1.0
1818,Gadget X,Toys,Warehouse 3,Aisle 4,150.0,29.99,Supplier B,Low Stock,Not Available,4498.5,0.5
1646,Widget A,Electronics,Warehouse 1,Aisle 2,150.0,49.99,Supplier A,In Stock,15-01-2023,7498.5,1.0
1020,Gadget Z,Toys,Warehouse 3,Aisle 4,300.0,19.99,Supplier D,In Stock,20-12-2022,5996.999999999999,1.0
1840,Gadget X,Electronics,Warehouse 2,Aisle 3,150.0,49.99,Supplier C,In Stock,25-04-2023,7498.5,1.0
1166,Gadget Y,Furniture,Warehouse 2,Aisle 3,50.0,29.99,Supplier C,In Stock,Not Available,1499.5,1.0
1273,Gadget Z,Toys,Warehouse 1,Aisle 3,300.0,29.99,Supplier A,In Stock,25-04-2023,8997.0,1.0
1387,Gadget Z,Toys,Warehouse 2,Aisle 3,150.0,29.99,Supplier C,Low Stock,Not Available,4498.5,0.5
1600,Widget C,Clothing,Warehouse 2,Aisle 1,150.0,29.99,Supplier D,Low Stock,20-12-2022,4498.5,0.5
1315,Widget A,Toys,Warehouse 3,Aisle 1,100.0,49.99,Supplier B,In Stock,15-01-2023,4999.0,1.0
1013,Widget A,Toys,Warehouse 2,Aisle 5,50.0,19.99,Supplier C,Low Stock,25-04-2023,999.4999999999999,0.5
1241,Gadget Y,Furniture,Warehouse 1,Aisle 2,300.0,29.99,Supplier D,Low Stock,Not Available,8997.0,0.5
1776,Gadget Y,Toys,Warehouse 3,Aisle 4,300.0,49.99,Supplier C,Out of Stock,05-03-2023,14997.0,0.0
1345,Gadget Z,Furniture,Warehouse 3,Aisle 4,200.0,19.99,Supplier A,In Stock,20-12-2022,3997.9999999999995,1.0
1564,Widget B,Furniture,Warehouse 1,Aisle 1,100.0,29.99,Supplier C,Low Stock,15-01-2023,2999.0,0.5
1897,Widget C,Furniture,Warehouse 3,Aisle 4,100.0,29.99,Supplier C,Low Stock,20-12-2022,2999.0,0.5
1339,Widget C,Furniture,Warehouse 3,Aisle 1,300.0,9.99,Supplier B,In Stock,05-03-2023,2997.0,1.0
1091,Gadget Z,Electronics,Warehouse 1,Aisle 5,300.0,49.99,Supplier A,Out of Stock,15-01-2023,14997.0,0.0
1366,Gadget X,Clothing,Warehouse 3,Aisle 2,150.0,19.99,Supplier A,In Stock,05-03-2023,2998.4999999999995,1.0
1955,Widget B,Electronics,Warehouse 1,Aisle 5,150.0,29.99,Supplier B,Out of Stock,20-12-2022,4498.5,0.0
1454,Gadget Z,Toys,Warehouse 1,Aisle 3,150.0,29.99,Supplier C,In Stock,Not Available,4498.5,1.0
1427,Widget B,Electronics,Warehouse 2,Aisle 3,100.0,19.99,Supplier D,In Stock,20-12-2022,1998.9999999999998,1.0
1508,Widget B,Electronics,Warehouse 2,Aisle 3,200.0,49.99,Supplier A,In Stock,20-12-2022,9998.0,1.0
1775,Widget B,Toys,Warehouse 3,Aisle 5,150.0,9.99,Supplier A,In Stock,20-12-2022,1498.5,1.0
1942,Gadget Z,Toys,Warehouse 3,Aisle 4,150.0,29.99,Supplier C,Out of Stock,25-04-2023,4498.5,0.0
1034,Widget C,Toys,Warehouse 1,Aisle 2,200.0,19.99,Supplier C,Out of Stock,05-03-2023,3997.9999999999995,0.0
1205,Widget C,Electronics,Warehouse 3,Aisle 3,50.0,19.99,Supplier A,Low Stock,05-03-2023,999.4999999999999,0.5
1080,Widget B,Electronics,Warehouse 1,Aisle 3,150.0,19.99,Supplier C,In Stock,05-03-2023,2998.4999999999995,1.0
1931,Gadget X,Toys,Warehouse 1,Aisle 3,150.0,49.99,Supplier D,Out of Stock,25-04-2023,7498.5,0.0
1561,Widget A,Clothing,Warehouse 3,Aisle 2,50.0,49.99,Supplier A,Out of Stock,Not Available,2499.5,0.0
1871,Gadget Z,Clothing,Warehouse 1,Aisle 3,50.0,49.99,Supplier D,Out of Stock,20-12-2022,2499.5,0.0
1387,Widget A,Furniture,Warehouse 2,Aisle 2,150.0,29.99,Supplier D,In Stock,Not Available,4498.5,1.0
1001,Gadget X,Toys,Warehouse 3,Aisle 3,150.0,19.99,Supplier C,Low Stock,25-04-2023,2998.4999999999995,0.5
1389,Gadget Z,Furniture,Warehouse 2,Aisle 5,100.0,29.99,Supplier D,Out of Stock,05-03-2023,2999.0,0.0
1565,Widget B,Clothing,Warehouse 3,Aisle 5,150.0,49.99,Supplier C,In Stock,20-12-2022,7498.5,1.0
1105,Widget C,Furniture,Warehouse 1,Aisle 2,150.0,49.99,Supplier B,Out of Stock,15-01-2023,7498.5,0.0
1771,Widget A,Toys,Warehouse 3,Aisle 5,150.0,19.99,Supplier C,Out of Stock,15-01-2023,2998.4999999999995,0.0
1821,Gadget Y,Toys,Warehouse 2,Aisle 2,50.0,49.99,Supplier D,Low Stock,Not Available,2499.5,0.5
1476,Gadget Y,Toys,Warehouse 1,Aisle 5,200.0,29.99,Supplier B,Out of Stock,05-03-2023,5998.0,0.0
1702,Gadget X,Electronics,Warehouse 3,Aisle 5,100.0,29.99,Supplier C,Out of Stock,15-01-2023,2999.0,0.0
1401,Widget B,Furniture,Warehouse 3,Aisle 2,150.0,49.99,Supplier D,In Stock,Not Available,7498.5,1.0
1729,Widget A,Clothing,Warehouse 3,Aisle 4,150.0,19.99,Supplier A,In Stock,25-04-2023,2998.4999999999995,1.0
1555,Widget B,Clothing,Warehouse 2,Aisle 5,200.0,19.99,Supplier A,Low Stock,Not Available,3997.9999999999995,0.5
1161,Widget A,Clothing,Warehouse 2,Aisle 3,150.0,19.99,Supplier C,In Stock,Not Available,2998.4999999999995,1.0
1201,Gadget X,Electronics,Warehouse 3,Aisle 4,100.0,9.99,Supplier C,In Stock,Not Available,999.0,1.0
1957,Gadget X,Electronics,Warehouse 1,Aisle 2,150.0,49.99,Supplier A,Low Stock,20-12-2022,7498.5,0.5
1995,Gadget Y,Toys,Warehouse 1,Aisle 4,300.0,19.99,Supplier D,Out of Stock,Not Available,5996.999999999999,0.0
1269,Widget B,Clothing,Warehouse 2,Aisle 1,150.0,29.99,Supplier D,Low Stock,Not Available,4498.5,0.5
1862,Gadget Z,Electronics,Warehouse 1,Aisle 1,150.0,29.99,Supplier D,In Stock,20-12-2022,4498.5,1.0
1815,Gadget Y,Toys,Warehouse 2,Aisle 5,300.0,29.99,Supplier C,Low Stock,20-12-2022,8997.0,0.5
1270,Widget B,Clothing,Warehouse 3,Aisle 5,200.0,19.99,Supplier B,Out of Stock,25-04-2023,3997.9999999999995,0.0
1455,Gadget Y,Furniture,Warehouse 2,Aisle 3,100.0,29.99,Supplier B,Low Stock,05-03-2023,2999.0,0.5
1461,Gadget Z,Toys,Warehouse 2,Aisle 4,200.0,29.99,Supplier B,In Stock,15-01-2023,5998.0,1.0
1726,Widget C,Electronics,Warehouse 3,Aisle 1,200.0,9.99,Supplier B,In Stock,15-01-2023,1998.0,1.0
1251,Widget C,Electronics,Warehouse 1,Aisle 5,100.0,29.99,Supplier B,Low Stock,Not Available,2999.0,0.5
1701,Widget C,Toys,Warehouse 2,Aisle 4,100.0,29.99,Supplier C,Out of Stock,25-04-2023,2999.0,0.0
1295,Widget C,Toys,Warehouse 2,Aisle 5,150.0,9.99,Supplier C,Low Stock,Not Available,1498.5,0.5
1724,Widget A,Electronics,Warehouse 3,Aisle 5,150.0,9.99,Supplier B,Out of Stock,15-01-2023,1498.5,0.0
1719,Widget C,Furniture,Warehouse 1,Aisle 1,100.0,29.99,Supplier C,Out of Stock,20-12-2022,2999.0,0.0
1748,Gadget Z,Clothing,Warehouse 2,Aisle 1,300.0,49.99,Supplier C,Low Stock,05-03-2023,14997.0,0.5
1337,Gadget X,Furniture,Warehouse 3,Aisle 5,50.0,29.99,Supplier B,Out of Stock,25-04-2023,1499.5,0.0
1878,Gadget X,Toys,Warehouse 2,Aisle 2,150.0,9.99,Supplier D,In Stock,20-12-2022,1498.5,1.0
1052,Widget A,Furniture,Warehouse 3,Aisle 5,50.0,29.99,Supplier C,Low Stock,05-03-2023,1499.5,0.5
1791,Widget C,Electronics,Warehouse 1,Aisle 5,300.0,29.99,Supplier D,Out of Stock,25-04-2023,8997.0,0.0
1921,Widget C,Toys,Warehouse 1,Aisle 3,100.0,49.99,Supplier C,In Stock,25-04-2023,4999.0,1.0
1216,Widget C,Clothing,Warehouse 1,Aisle 3,300.0,29.99,Supplier C,Low Stock,15-01-2023,8997.0,0.5
1763,Gadget Y,Electronics,Warehouse 1,Aisle 3,150.0,19.99,Supplier B,In Stock,20-12-2022,2998.4999999999995,1.0
1187,Widget B,Electronics,Warehouse 2,Aisle 2,200.0,29.99,Supplier C,In Stock,25-04-2023,5998.0,1.0
1379,Gadget Y,Clothing,Warehouse 2,Aisle 2,100.0,9.99,Supplier A,In Stock,25-04-2023,999.0,1.0
1492,Widget B,Clothing,Warehouse 1,Aisle 5,150.0,29.99,Supplier A,Out of Stock,05-03-2023,4498.5,0.0
1040,Widget C,Furniture,Warehouse 1,Aisle 3,50.0,29.99,Supplier B,Low Stock,15-01-2023,1499.5,0.5
1156,Widget C,Toys,Warehouse 1,Aisle 2,300.0,9.99,Supplier D,Low Stock,Not Available,2997.0,0.5
1014,Gadget Y,Clothing,Warehouse 2,Aisle 1,100.0,19.99,Supplier D,Out of Stock,15-01-2023,1998.9999999999998,0.0
1812,Gadget Y,Clothing,Warehouse 1,Aisle 5,300.0,9.99,Supplier D,Low Stock,Not Available,2997.0,0.5
1064,Widget B,Toys,Warehouse 1,Aisle 4,100.0,29.99,Supplier A,In Stock,20-12-2022,2999.0,1.0
1856,Gadget X,Clothing,Warehouse 1,Aisle 5,150.0,9.99,Supplier D,Low Stock,20-12-2022,1498.5,0.5
1838,Widget B,Clothing,Warehouse 3,Aisle 4,150.0,9.99,Supplier D,Out of Stock,25-04-2023,1498.5,0.0
1520,Gadget Y,Furniture,Warehouse 1,Aisle 3,150.0,19.99,Supplier B,In Stock,20-12-2022,2998.4999999999995,1.0
1343,Gadget Z,Electronics,Warehouse 3,Aisle 4,300.0,29.99,Supplier D,Out of Stock,25-04-2023,8997.0,0.0
1128,Gadget Y,Electronics,Warehouse 3,Aisle 3,150.0,49.99,Supplier A,In Stock,15-01-2023,7498.5,1.0
1647,Gadget Z,Electronics,Warehouse 1,Aisle 1,150.0,49.99,Supplier A,In Stock,20-12-2022,7498.5,1.0
1471,Widget A,Electronics,Warehouse 3,Aisle 4,100.0,29.99,Supplier A,Low Stock,15-01-2023,2999.0,0.5
1062,Gadget Y,Clothing,Warehouse 1,Aisle 5,150.0,9.99,Supplier B,In Stock,15-01-2023,1498.5,1.0
1138,Widget A,Toys,Warehouse 2,Aisle 3,200.0,29.99,Supplier B,Out of Stock,20-12-2022,5998.0,0.0
1498,Gadget X,Toys,Warehouse 2,Aisle 5,150.0,19.99,Supplier C,Low Stock,15-01-2023,2998.4999999999995,0.5
1592,Widget B,Furniture,Warehouse 2,Aisle 2,300.0,49.99,Supplier D,Out of Stock,20-12-2022,14997.0,0.0
1391,Gadget Z,Furniture,Warehouse 2,Aisle 3,150.0,9.99,Supplier B,In Stock,20-12-2022,1498.5,1.0
1674,Widget B,Clothing,Warehouse 3,Aisle 4,200.0,19.99,Supplier A,Out of Stock,20-12-2022,3997.9999999999995,0.0
1418,Widget A,Toys,Warehouse 1,Aisle 3,300.0,19.99,Supplier A,Out of Stock,Not Available,5996.999999999999,0.0
1288,Gadget Z,Toys,Warehouse 1,Aisle 5,300.0,9.99,Supplier B,In Stock,15-01-2023,2997.0,1.0
1378,Widget B,Electronics,Warehouse 1,Aisle 1,300.0,19.99,Supplier B,Low Stock,05-03-2023,5996.999999999999,0.5
1772,Gadget Y,Clothing,Warehouse 2,Aisle 3,100.0,9.99,Supplier B,Out of Stock,20-12-2022,999.0,0.0
1489,Widget C,Clothing,Warehouse 2,Aisle 4,300.0,9.99,Supplier C,In Stock,15-01-2023,2997.0,1.0
1230,Widget A,Electronics,Warehouse 1,Aisle 2,100.0,29.99,Supplier A,Low Stock,25-04-2023,2999.0,0.5
1040,Widget B,Clothing,Warehouse 2,Aisle 1,300.0,29.99,Supplier C,Low Stock,20-12-2022,8997.0,0.5
1027,Widget A,Clothing,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Low Stock,20-12-2022,999.4999999999999,0.5
1134,Widget A,Furniture,Warehouse 1,Aisle 3,200.0,19.99,Supplier D,Out of Stock,05-03-2023,3997.9999999999995,0.0
1200,Gadget Z,Toys,Warehouse 1,Aisle 5,50.0,29.99,Supplier A,Out of Stock,Not Available,1499.5,0.0
1839,Gadget Z,Clothing,Warehouse 1,Aisle 5,300.0,29.99,Supplier A,Out of Stock,Not Available,8997.0,0.0
1779,Widget C,Furniture,Warehouse 1,Aisle 4,200.0,29.99,Supplier B,Low Stock,20-12-2022,5998.0,0.5
1929,Gadget Y,Toys,Warehouse 1,Aisle 5,200.0,49.99,Supplier B,Out of Stock,15-01-2023,9998.0,0.0
1032,Widget A,Electronics,Warehouse 1,Aisle 1,150.0,49.99,Supplier D,In Stock,25-04-2023,7498.5,1.0
1047,Widget B,Furniture,Warehouse 2,Aisle 5,50.0,49.99,Supplier C,Out of Stock,25-04-2023,2499.5,0.0
1502,Gadget X,Furniture,Warehouse 1,Aisle 4,150.0,9.99,Supplier B,Out of Stock,15-01-2023,1498.5,0.0
1406,Widget A,Toys,Warehouse 1,Aisle 3,200.0,19.99,Supplier B,Low Stock,20-12-2022,3997.9999999999995,0.5
1573,Widget A,Electronics,Warehouse 2,Aisle 3,100.0,29.99,Supplier A,Out of Stock,25-04-2023,2999.0,0.0
1727,Widget C,Furniture,Warehouse 2,Aisle 5,200.0,9.99,Supplier A,In Stock,Not Available,1998.0,1.0
1804,Gadget Y,Clothing,Warehouse 2,Aisle 2,150.0,19.99,Supplier B,Low Stock,15-01-2023,2998.4999999999995,0.5
1098,Gadget X,Clothing,Warehouse 1,Aisle 3,50.0,19.99,Supplier A,In Stock,05-03-2023,999.4999999999999,1.0
1683,Gadget Z,Clothing,Warehouse 3,Aisle 5,300.0,29.99,Supplier D,Low Stock,20-12-2022,8997.0,0.5
1871,Gadget Z,Electronics,Warehouse 3,Aisle 4,300.0,29.99,Supplier B,Low Stock,15-01-2023,8997.0,0.5
1725,Widget B,Furniture,Warehouse 2,Aisle 5,50.0,9.99,Supplier A,Out of Stock,25-04-2023,499.5,0.0
1986,Gadget X,Clothing,Warehouse 3,Aisle 3,300.0,29.99,Supplier D,In Stock,20-12-2022,8997.0,1.0
1546,Gadget Z,Electronics,Warehouse 2,Aisle 4,300.0,19.99,Supplier A,Low Stock,Not Available,5996.999999999999,0.5
1960,Widget B,Clothing,Warehouse 1,Aisle 5,150.0,29.99,Supplier A,Out of Stock,20-12-2022,4498.5,0.0
1738,Gadget Y,Toys,Warehouse 3,Aisle 1,50.0,49.99,Supplier A,Low Stock,20-12-2022,2499.5,0.5
1612,Widget B,Furniture,Warehouse 1,Aisle 4,150.0,29.99,Supplier B,Low Stock,Not Available,4498.5,0.5
1942,Gadget Z,Furniture,Warehouse 3,Aisle 1,100.0,19.99,Supplier C,Low Stock,Not Available,1998.9999999999998,0.5
1461,Widget C,Electronics,Warehouse 1,Aisle 2,100.0,9.99,Supplier A,Low Stock,20-12-2022,999.0,0.5
1642,Widget C,Electronics,Warehouse 3,Aisle 4,300.0,29.99,Supplier D,Low Stock,Not Available,8997.0,0.5
1768,Widget C,Furniture,Warehouse 1,Aisle 1,100.0,29.99,Supplier B,Low Stock,15-01-2023,2999.0,0.5
1004,Gadget Z,Clothing,Warehouse 1,Aisle 3,50.0,19.99,Supplier B,Out of Stock,Not Available,999.4999999999999,0.0
1217,Widget C,Clothing,Warehouse 3,Aisle 3,50.0,29.99,Supplier D,Low Stock,Not Available,1499.5,0.5
1502,Gadget X,Toys,Warehouse 1,Aisle 2,200.0,29.99,Supplier A,In Stock,20-12-2022,5998.0,1.0
1766,Gadget Y,Clothing,Warehouse 1,Aisle 4,200.0,49.99,Supplier C,Out of Stock,15-01-2023,9998.0,0.0
1397,Widget B,Electronics,Warehouse 1,Aisle 4,100.0,29.99,Supplier A,In Stock,05-03-2023,2999.0,1.0
1870,Widget B,Electronics,Warehouse 3,Aisle 4,150.0,19.99,Supplier D,Low Stock,05-03-2023,2998.4999999999995,0.5
1794,Gadget Z,Clothing,Warehouse 3,Aisle 2,200.0,19.99,Supplier B,In Stock,25-04-2023,3997.9999999999995,1.0
1392,Widget C,Electronics,Warehouse 1,Aisle 4,200.0,29.99,Supplier C,Low Stock,Not Available,5998.0,0.5
1206,Widget C,Furniture,Warehouse 1,Aisle 3,50.0,29.99,Supplier B,Low Stock,Not Available,1499.5,0.5
1014,Widget A,Furniture,Warehouse 3,Aisle 1,150.0,29.99,Supplier D,Out of Stock,15-01-2023,4498.5,0.0
1857,Gadget Y,Clothing,Warehouse 3,Aisle 3,300.0,29.99,Supplier A,Out of Stock,05-03-2023,8997.0,0.0
1553,Gadget X,Furniture,Warehouse 1,Aisle 3,100.0,29.99,Supplier C,Low Stock,25-04-2023,2999.0,0.5
